row,DOI,Abstract,label
1026,10.1007/978-3-030-61295-5_1,"Artificial Intelligence (AI) is becoming more prevalent across various industries. However, the construction industry and its suppliers have not yet recognized its full potential as it relates to efficiency and competitiveness. This study aims to increase the understanding of AI in the environment of construction by presenting a case applying tools referring to the Theory of Inventive Problem Solving (TRIZ) and Six Sigma to show how to implement selected AI technologies in a systematic way in order to improve processes. Thus, this paper presents a novel approach for solving business process and management problems combining TRIZ and Six Sigma tools. We specifically focus on extending TRIZ with Six Sigma. To demonstrate the successful application of the developed TRIZ-Six Sigma framework a case study is included. Overall, this paper provides an illustrative example of successful systematic innovation and demonstrates how AI technology can be implemented within a real company by identifying the use of cases with the support of TRIZ. This case report can help practitioners in planning and executing similar projects towards business process optimization since fast and efficient processes have been obtained in a real world scenario. © 2020, IFIP International Federation for Information Processing.",AI Adoption Factors
1028,10.1016/j.autcon.2019.103062,"The design of reinforcing steel bars (rebars) is critical to reinforced concrete (RC) structures. Generally, a good number of rebars are required by a design code, particularly at member connections. As such, rebar clashes (i.e., collisions and congestions) would be inevitable. It would be impractical, labor-intensive, and error-prone to avoid all possible clashes manually or even using standard design software. The building information modeling (BIM) technology has been utilized by the present architecture, engineering, and construction (ACE) industry for clash-free rebar designs. However, most existing BIM-based approaches offer the clash resolution strategy for moving components with an optimization algorithm, and are only applicable to the RC structures with regular shapes. In particular, the optimized path of rebars cannot be adjusted to avoid the obstacles, thus limiting the practical applications. Furthermore, most existing studies lack the learning from design code and constructibility constraints to realize automatic and intelligent arrangement and adjustment of rebars for avoiding the obstacles encountered in complex RC joints and frame structures. Considering these shortcomings, the authors have recently proposed an immediate reward-based multi-agent reinforcement learning (MARL) system with BIM, towards automatic clash-free rebar designs of RC joints without clashes. However, as the immediate reward is required in the MARL system for guiding the learning of a rebar design, it will not succeed in clash-free rebar designs of complex RC structures where immediate reward is often unavailable. In this study, this study further extends the previous work with Q-learning (a model-free reinforcement learning algorithm) for more realistic path planning considering both immediate and delayed rewards in clash-free rebar designs for real-world RC structures. In particular, the rebar design problem is treated as a path-planning problem of multi-agent system, where each rebar is deemed as an intelligence reinforcement learning agent. Next, by employing the Q-learning as the reinforcement learning engine, the particular form of state, action, and immediate and delayed rewards for the reinforcement MARL for automatic rebar designs considering more actual constructible constraints and design codes can be developed. Comprehensive experiments on three typical beam-column joints and a two-story RC building frame were conducted to evaluate the efficiency of the proposed method. The study results of paths of rebar designs, success rates, and average time confirm that the proposed framework with MARL and BIM is effective and efficient. © 2019 Elsevier B.V.",AI Development and Methods
1029,10.13225/j.cnki.jccs.ZN20.0316,"Environmental detection and underground space navigation is an important research direction in the field of intelligent information for coal mines, which is very important for the realization of unmanned, fully automatic and intelligent coal mine production.With the development of the Fifth Generation Mobile Networks (5G)and mmWave imaging technology, the integration of hardware and software design of millimeter wave in the detection and communication has been a considerable growth.The 5G communication technology relies on the characteristics of high speed, low delay and high bandwidth, which brings great changes to the existing radio communication technology.Compared with laser, mmWave radar has the characteristics of low cost, anti-jamming, and the point cloud pixels for each frame of image are 1-2 orders less than that of laser, which makes its more popular in the 3D imaging of underground environment and simultaneous localization and mapping (SLAM).The V2X (Vehicle to Everything) technology based on 5G communication combined with millimeter wave SLAM navigation provides a new solution for the autonomous navigation of coal mine robots.This paper systematically reviews the problems faced by the autonomous navigation of coal mine robots and the realization of intelligent coal mine, and the research progress of mmWave imaging recently.The sparse feature extraction method for high-resolution imaging, and also the schematic diagram of communication and signal acquisition for multiple module groups are introduced.The processing strategy and algorithm evaluation of sparse point cloud and the research status and development direction of deep learning in sparse point cloud processing of mmWave imaging are summarized.Finally, the problems and challenges of SLAM map construction, path planning and obstacle avoidance in the underground mining environment, the research status of SLAM algorithm applied to different environments and SLAM navigation algorithm are categorized and elaborated.In addition, the problems that need to be solved in the further study of millimeter wave communication and navigation and possible future development directions are proposed. © 2020, Editorial Office of Journal of China Coal Society. All right reserved.",Not Related
1030,10.1061/(ASCE)CO.1943-7862.0001759,"Technological advancements focusing on effective and efficient information modeling, visualization, resource tracking, and collaboration have gained substantial traction in the architectural, engineering, construction, and facility management (AEC/FM) industry in the last 10 years. The use of advanced technologies has resulted in safer jobsites hosting more productive project teams building more sustainable and resilient facilities and infrastructure. Recently, the innovative use of data and analytical approaches has had a major positive effect on a variety of businesses by incorporating data-driven applications and approaches. However, the AEC/FM industry is still lagging behind many other industries in leveraging the true power of data. Data analytics concepts and tools integrated with emerging construction trends such as building information modeling (BIM) have a high potential to revolutionize industry practices. This paper consolidates the record of current efforts in the AEC/FM body of knowledge (BOK) and body of practice (BOP) that incorporate the use of Data Analytics with common Technology Trends in various Application Areas. Identifying common subsections of each category, a three dimensional evidenced taxonomy was developed that maps (1) Data Analytics concepts such as cloud computing and machine learning onto, (2) AEC/FM emerging trends such as BIM and automation, and (3) existing and potential AEC/FM applications such as safety and progress monitoring. To further expand the validity of the results and explore opportunities and potential, a survey with the same categorization was developed and distributed among industry experts. Comparing the results of the exploration of the BOK and the survey illustrated the popularity of BIM among industry practitioners and in academic research. Also, process efficiency and productivity improvement were the two Application Areas that demonstrated the most potential to benefit from the integration of Data Analytics and Technology Trends. Analysis of the survey results indicated that, with a 95% confidence level, there is no statistically significant difference among the Technology Trends or Application Areas, as identified in the literature, that can benefit from Data Analytics. The results presented in this study demonstrate evidence of the revolutionizing power of Data Analytics in the AEC/FM industry. © 2019 American Society of Civil Engineers.",Not Related
1037,10.11975/j.issn.1002-6819.2020.06.038,"Thenationalconcept of dietary nutrition and health has changed from ""eating-full"", ""eating-well"" to ""eating-right"", as China's per capita gross domestic product (GDP) in 2019 reached 10,000 U.S. dollars. Modern diets are gradually moving from basic requirement of nutrition and flavor, to three major elements including safety, nutrition and health. The paper put forward a new framework of the dialectical nutrition based on Chinese dietary therapy and modern nutrition. The dialectical nutrition, based on the ""new nutrition science"" that proposed by the 18th International congress of Nutrition, aims to explore food nutrition, human physique and their dialectical relationship, using a dialectical and systematic approach. According to the overall, comprehensive and balanced nutritional perspective, the framework was then combined with the diet and taste of food in Chinese dietary therapy, in order to build a whole discipline system from philosophy to science. The evaluation system can be suitable for the characteristics of Chinese diet, physical classification, and health status. The dialectical nutrition, served as a sort of nutrition discipline, iscomplied with the definition and concept of new modern nutrition, with emphasizing on the interdisciplinary integration in the range of biology, sociology, and humanities. The purpose of dialectical nutrition was used to balance the dynamic transformation of food and nutritional physique, in order to achieve human nutrition and health. This is because the dialectic method was a theoretical strategywith technical precision and dynamic balance. Therefore, this study proposed a construction of two framework for 1) the healthy food engineering system based on six attributes, including germplasm, habitat, processing, nutrition, function, and bias, and for 2) the nutrition physical engineering system based on six evaluated indices, including basal metabolism, gastrointestinal macrogenes, nutritional genes, emotional strength, immunity, digestion and absorption ability. A dynamic model of transformation balance has also established based on the big data mining. The integrated frameworks with the dynamic models can form an new engineering system for nutrition and health. This proposed system can provide sound basis for the four supporting systems of talents, technology, industry and capital in China society. The study can innovate the development of the healthy food industry, and upgrade of national healthy consumption, as well provide scientific dietary guidance for the health of the entire population, and lay a solid healthy foundation for the national effort to build China into a comprehensive moderately prosperous society. © 2020, Editorial Department of the Transactions of the Chinese Society of Agricultural Engineering. All right reserved.",Not Related
1043,10.1007/978-981-15-0184-5_28,"With the recent emphasis on large-scale civil engineering constructions, artificial intelligence in the construction activities has received importance. Compressibility behavior is an important property in fine soils to find out the settlements in foundation designs. However, compression index (Cc) from one-dimensional swell-consolidation test is time consuming and laborious. Many traditional prediction-stimulated models rely on simplified assumptions, leading to inaccurate Cc estimations. This paper explores, by comparison, the application of invasive weed optimization (IWO) algorithm and particle swarm optimization (PSO) to predict Cc via multiple linear regression models. The predicted model equations have been developed, uses four input parameters namely plasticity index, free swell index, rate of heave and swell potential in both methods. The results confirm that the developed models using IWO provides accurate prediction than standard particle swarm optimization (PSO) algorithm. © 2020, Springer Nature Singapore Pte Ltd.",AI Development and Methods
1044,10.1016/j.ssci.2019.08.022,"Cloud computing has become a hot topic in the industry and academic circles. Large-scale data processing is realized by centralizing system management of network resources, computing resources, and storage resources. Among them, the distributed computing platform greatly improves the productivity of programmers by abstracting the implementation details of distributed computing, and is widely used in building safety assessment. In this study, the construction safety evaluation index system was established for the construction site of common accidents, and the index weight was determined by the analytic hierarchy process. For the safety index evaluation task, an early warning mechanism based on distributed computing and extension theory to build cloud security management is established, which saves the overall calculation time and quantitatively evaluates the security status of the construction site. Finally, the method is verified by engineering examples, and the results show that the method is practical and effective. The method is convenient for computer programming, easy to operate and implement, and has strong applicability. Based on distributed computing and extended cloud model, not only can the overall state of construction safety be judged, but also potential security problems can be identified based on information feedback. The objective existence of hazards in the construction process can be grasped, which has important guiding significance for the construction process. © 2019 Elsevier Ltd",AI Development and Methods
1046,10.2174/1874836802014010098,"Background: The Building Information Modeling (BIM) revolution can provide a solution for problems in the Saudi Arabian construction industry and improve its outcomes. Though this technology is increasingly and rapidly adopted in advanced countries, developing countries such as Saudi Arabia and the Gulf Cooperation Council countries (GCC) are still in the early stages of BIM adoption. Objective: This study investigates the current state of BIM technology adoption by exploring and analyzing the critical challenges and barriers to BIM technology utilization in the construction sectors. Methods: The quantitative approach is adopted via a survey questionnaire distributed to participants in the field of construction projects in the Architecture, Engineering, and Construction (AEC) industry. A total of 228 questionnaires are collected and analyzed using the statistical packaging for social science software. Results: Findings show that several significant barriers negatively affect the utilization of BIM. The major barriers to BIM adoption are related to the lack of demand, lack of experts, and poor awareness of BIM benefits, which have relative importance indexes of (RII = 89.910), (RII = 88.475), and (RII = 87.130), respectively. Meanwhile, unspecified data responsibilities, difficulty of learning BIM, lack of data sharing, and sufficient current technology constitute the lowest-ranking barriers with their relative importance indexes of (RII = 71.704), (RII = 70.807), (RII = 66.413), and (RII = 65.874), respectively. Conclusion: The findings of this study are highly significant and can become more helpful and interesting if further research can measure the methodologies to implement BIM technology in the Kingdom of Saudi Arabia. © 2020 Al-Hammadi and Tian.",Not Related
1047,10.1108/IR-02-2020-0038,"Purpose: This paper is a “Q&A interview” conducted by Joanne Pransky of Industrial Robot Journal as a method to impart the combined technological, business and personal experience of a prominent, robotic industry PhD-turned entrepreneur regarding his pioneering efforts of bringing technological inventions to market. The paper aims to discuss these issues. Design/methodology/approach: The interviewee is Dr Matanya Horowitz, Founder and CEO of AMP Robotics, an industrial artificial intelligence (AI) and Robotics Company that automates the identification, sorting and processing of complex waste streams to extract maximum value for their customers. Horowitz discusses how he came to found this groundbreaking company and created disruptive innovations. Findings: Horowitz earned four bachelor degrees in electrical engineering, computer science, applied mathematics and economics, as well as a master’s degree in electrical engineering, all from the University of Colorado. He also holds a PhD in control and dynamical systems from the California Institute of Technology with publications and research in control theory, AI, robotic path planning and computer vision. Shortly after finishing his PhD, he founded Louisville, Colorado-based AMP Robotics in 2014 with the mission of changing the fundamental economics of recycling. In the Fall of 2019, AMP raised $16m in Series A funding, led by Sequoia Capital. Originality/value: Horowitz developed and commercialized AMP’s breakthrough AI platform, AMP Neuron™ and robotics system, AMP Cortex™, which automates high-speed identification, sorting, picking and processing of material streams. Horowitz was individually recognized as Waste360’s “2019 Innovator of the Year” in addition to being named in their “40 under 40” list. AMP has received numerous awards and gained international recognition, including The Circulars 2018 Award for “Circular Economy Top Tech Disruptor” at the World Economic Forum in Davos, and the NWRA’s (National Waste and Recycling Association) “2017 Innovator of the Year” award. © 2020, Emerald Publishing Limited.",Not Related
1049,10.3390/app9153137,"Indoor positioning systems (IPS) have been recently adopted by many researchers for their broad applications in various Internet of Things (IoT) fields such as logistics, health, construction industries, and security. Received Signal Strength (RSS)-based fingerprinting approaches have been widely used for positioning inside buildings because they have a distinct advantage of low cost over other indoor positioning techniques. The signal power RSS is a function of the distance between the Mobile System (MS) and Access Point (AP), which varies due to the multipath propagation phenomenon and human body blockage. Furthermore, fingerprinting approaches have several disadvantages such as labor cost, diversity (in signals and environment), and computational cost. Eliminating redundancy by ruling out non-informative APs not only reduces the computation time, but also improves the performance of IPS. In this article, we propose a dimensionality reduction technique in a multiple service set identifier-based indoor positioning system with Multiple Service Set Identifiers (MSSIDs), which means that each AP can be configured to transmit N signals instead of one signal, to serve different kinds of clients simultaneously. Therefore, we investigated various kinds of approaches for the selection of informative APs such as spatial variance, strongest APs, and random selection. These approaches were tested using two clustering techniques including K-means and Fuzzy C-means. Performance evaluation was focused on two elements, the number of informative APs versus the accuracy of the proposed system. To assess the proposed system, real data was acquired from within the College of Engineering and Applied Sciences (CEAS) at the Western Michigan University (WMU) building. The results exhibit the superiority of fused Multiple Service Set Identifiers (MSSID) performance over the single SSID. Moreover, the results report that the proposed system achieves a positioning accuracy < 0.85 m over 3000 m2, with an accumulative density function (CDF) of 88% with a distance error of 2 m. © 2019 by the authors.",Not Related
1051,10.1016/j.autcon.2019.102942,"Building Information Model/Modeling (BIM) upgrades the digitization of buildings from 2D to 3D and has become a common paradigm in architecture, engineering, construction, operations, and facility management (AECO/FM) industry. However, embedding BIM in decision support systems is still a challenge because the BIM standard (Industry Foundation Classes, or IFC) is complex, and the geometries in BIM cannot be directly rendered in decision support systems, e.g., web and mobile-phone applications. Current efforts mainly focus on rendering BIM triangulation data, and limited studies investigate solutions solving quite long running time and enormously large memory usage in BIM triangulation process, especially in big BIM files. This study addresses this issue by introducing a parallel computing framework and providing an online geometry triangulation service. First, the reference relationships among the BIM objects were modeled as a graph according to the IFC specification. Second, the original large IFC file was split into several small independent IFC files in which all geometric objects that share the same shape representation were aggregated. Finally, the small separate IFC files were assigned to and triangulated in different computers in a parallel computing cluster. Experiments showed that the proposed online service could greatly reduce memory usage and time consumption when triangulating the geometry of BIM objects. Processability has become a critical issue for BIM in the era of construction Big Data. The proposed scheme can triangulate big BIM files efficiently using limited memory and thus can dramatically improve the processability of BIM Big Data. © 2019 Elsevier B.V.",Not Related
1054,10.1016/j.autcon.2020.103138,"Although heavy equipment is an indispensable resource in many construction projects, it is often underutilized. Inefficient usage patterns and frequent idling contribute to increased emissions and project costs. Efforts to improve usage patterns often begin with activity tracking. Recent research into automated activity tracking has leveraged sensing devices and Internet-of-Things (IoT) frameworks to power machine learning models that can predict the behaviors of monitored equipment. However, shallow machine learning models require complex manual feature engineering that could be further automated with more recent deep learning approaches. Deep learning approaches not only increase automation but also promise improved accuracies by avoiding biases introduced by manual feature design. This paper proposes a construction equipment activity recognition framework that uses deep learning architectures to predict the activities of heavy construction equipment monitored via accelerometers and applies this framework to a roller compactor and an excavator performing real work. The performance of a simple baseline convolutional neural network (CNN) is compared to a hybrid network that contains both convolutional and recurrent long short-term memory (LSTM) layers. The hybrid model outperforms the baseline model in all instances studied. In the task of classifying the activities of the roller compactor, the hybrid model achieves a validation accuracy of 77.1% when presented with six activities and a validation accuracy of 96.2% when distinguishing only direction. In the task of classifying seven activities of the excavator, the hybrid model achieves a validation accuracy of 77.6%, with some confusion between isolated activities and a Various category that includes elements of the isolated activities. With the Various category removed, the hybrid model achieves a validation accuracy of 90.7%. This study demonstrates that deep learning frameworks can model the activities of construction equipment with high accuracy. In particular, this work shows that convolutional and LSTM layers can each form effective parts of deep learning models that characterize equipment activities based on accelerometer data, and furthermore that these components can produce more effective models when combined. The findings of this study can be leveraged by researchers and industry professionals to develop reliable automated activity recognition systems for tracking and monitoring equipment performance and for measuring the productivity and the efficiency of the work performed. © 2020 Elsevier B.V.",AI Development and Methods
1055,10.1155/2020/6696155,"Artificial intelligence (AI) technology-based intelligent robots are constructed using different technologies, such as Internet of Things (IoT), big data, deep learning, machine learning, neural network, and expert system. This particular type of robots can increase the work efficiency of humans and improve their quality of life. From the industry perspective, AI robots possess unlimited potential for development, and they are projected to be a 10-trillion-dollar industry. In this study, the critical technology of IoT is applied to develop a teaching module for an IoT smart home robot. Teaching and evaluation are performed through an embedded thematic-approach teaching strategy in the course named Automatic Measurement and Monitoring. This research aims to teach students how to integrate IoT technology into robot design and construction to build IoT smart home robots. This cross-disciplinary research incorporates emerging technology - integration of smart home, robot construction, and IoT technologies - into industrial education, teaching material and equipment development, and experimental teaching and evaluation. The participating students were juniors or seniors from the Department of Electrical Engineering or Electromechanical Engineering at the University of Technology.  © 2020 Kai-Chao Yao et al.",Not Related
1056,10.1016/j.autcon.2020.103179,"As the Architecture, Engineering and Construction sector is embracing the digital age, the processes involved in the design, construction and operation of built assets are more and more influenced by technologies dealing with value-added monitoring of data from sensor networks, management of this data in secure and resilient storage systems underpinned by semantic models, as well as the simulation and optimisation of engineering systems. Aside from enhancing the efficiency of the value chain, such information-intensive models and associated technologies play a decisive role in minimising the lifecycle impacts of our buildings. While Building Information Modelling provides procedures, technologies and data schemas enabling a standardised semantic representation of building components and systems, the concept of a Digital Twin conveys a more holistic socio-technical and process-oriented characterisation of the complex artefacts involved by leveraging the synchronicity of the cyber-physical bi-directional data flows. Moreover, BIM lacks semantic completeness in areas such as control systems, including sensor networks, social systems, and urban artefacts beyond the scope of buildings, thus requiring a holistic, scalable semantic approach that factors in dynamic data at different levels. The paper reviews the multi-faceted applications of BIM during the construction stage and highlights limits and requirements, paving the way to the concept of a Construction Digital Twin. A definition of such a concept is then given, described in terms of underpinning research themes, while elaborating on areas for future research. © 2020 The Authors",Not Related
1058,,"Several researchers have noted the difficulty classroom teachers face when trying to impart engineering concepts. The crux of the issue is how to help students “see” these important but elusive concepts. No amount of oratory, hand waving, or scribble can impart information like simply showing the student. Therefore, it is evident that traditional classroom lectures are best supplemented with components of experiential or active learning. Enriching the learning experience for construction management (CM) students is in the technical educator’s best interest by including active learning exercises that emulate industry practices. Researchers at Central Washington University integrated an active learning activity into a concrete construction course. The active learning exercise was designed to help students visualize the means, methods, and materials of concrete formwork for vertical applications. To impart fundamental concepts and to imprint the knowledge obtained, traditional lecture, pre-and post-lab quizzes, and plan reading were employed. This pilot project developed a set of forms for a typical spread footing and square column. Groups of three to four students were then tasked with the job of erecting these forms, which enhanced the quality of learning and depth of understanding of the principle components used in vertical concrete formwork. Although the exercise was initially designed to enhance students’ understanding of concrete formwork, the active learning component aided in providing students with the opportunity to plan, organize, and work as a team as well, thus helping them to also become better team members. © 2019, American Society for Engineering Education. All rights reserved.",Not Related
1062,10.1155/2020/9048191,"Potential damages to existing tunnels represent a major concern for constructing deep excavations in urban areas. The uncertainty of subsurface conditions and the nonlinear interactions between multiple agents (e.g., soils, excavation support structures, and tunnel structures) make the prediction of the response of tunnel induced by adjacent excavations a rather difficult and complex task. This paper proposes an initiative to solve this problem by using process-based modelling, where information generated from the interaction processes between soils, structures, and excavation activities is utilized to gradually reduce uncertainty related to soil properties and to learn the interaction patterns through machine learning techniques. To illustrate such a concept, this paper presents a simple process-based model consisting of artificial neural network (ANN) module, inverse modelling module, and mechanistic module. The ANN module is trained to learn and recognize the patterns of the complex interactions between excavation deformations, its geometries and support structures, and soil properties. The inverse modelling module enables a gradual reduction of uncertainty associated with soil characterizations by accumulating field observations during the construction processes. Based on the inputs provided by the former two modules, the mechanistic module computes the response of tunnel. The effectiveness of the proposed process-based model is evaluated against high-fidelity numerical simulations and field measurements. These evaluations suggest that the strategy of combining artificial intelligence techniques with information generated during interaction processes can represent a promising approach to solve complex engineering problems in conventional industries. © 2020 Linlong Mu et al.",AI Development and Methods
1063,10.1007/978-981-15-8083-3_44,"With the continuous improvement of economic development level, the construction engineering industry is developing rapidly. As an important technology in project cost management, BIM is of great significance for saving construction cost and improving the management level of engineering cost. In the construction project cost management, the application of BIM technology can make up for the shortage of traditional engineering cost management, and adopt an intuitive cost management mode to standardize the whole process of construction and promote the construction cost management of China to better. Direction development [1]. © 2020, Springer Nature Singapore Pte Ltd.",Not Related
1064,,"Considering the low and volatile oil and gas prices, cost reductions are an impending challenge in the oil and gas industry. For example, offshore pipelines constitute approximately 12% of total CAPEX and potentially 30% of the total OPEX of the entire offshore field development cost. Workforce shortages and manual engineering processes have a high cost impact due to the excessive time to optimize pipeline design, construction, and operation for a robust and efficient system. If the design phase takes excessive time, it is difficult to optimize cost for CAPEX and OPEX while managing risks, with the added complexity of price uncertainties in the market due to unforeseen geopolitical instability. The objective of this paper is to present an artificial intelligence and automation driven pipeline engineering computation system for performing pipeline design and integrity engineering that can save substantial engineering time with a better and optimized design that can accommodate to crude price uncertainty. A comprehensive computational framework is utilized for pipeline conceptual/preliminary, FEED and operational integrity analysis. The digital computational framework is equipped with a distributed data intake, a robotics process automation, and a predictive analytics computation system. A self-service 3D digital twin creator is utilized to operate from the front end and receiving intelligence from the analysis. The automated design engineering engine is utilized to perform and create ready reports for conceptual/ preliminary and FEED/Detail design of a subsea pipeline system. A predictive analytics computation system is utilized to perform pipeline operational integrity using in-line-inspection data and life prediction. The computational system was tested for a subsea flowline conceptual, FEED level design (i.e. pipeline thermo-mechanical and on-bottom-roughness FEA analysis) and thermomechanical structural integrity during the operational phase. The design time was substantially lower than the traditional manual pipeline design suggested a saving as much as 80% of the engineering time. The computation engine was also tested to conduct pipeline integrity using machine learning from direct in-line-inspection data. The flexibility and scalability of the computational framework allow incorporation of any organization's existing pipeline data and engineering process. The significant saving in the engineering time should be able to reduce contingency in hedging due to the price uncertainty. The novel computational framework is made available online offers real-time on-demand analytics for instant intelligence for making decisions for both in design and in operational phases. Reusing of all engineering efforts over the life of the pipeline or for other projects is another possibility offered by the cloud-based computational framework. © 2020, Society of Petroleum Engineers",Not Related
1069,10.1016/j.heliyon.2020.e04361,"The current spate of building collapse in Nigeria has continued to attract research efforts to unravel the causes and possible remedies. Although cases of building collapse in Nigeria has been associated with several factors, those factors associated with building plan approval process have not adequately investigated, especially in a rapidly expanding colonial city of Enugu. The study investigated the role of local town planning authorities in the increasing cases of collapsed buildings in Nigeria using Enugu as a case study. A well-structured questionnaire was administered to the three Chief Town Planners in the three planning approval offices and oral interviews randomly selected 30 developers in ongoing construction projects within Enugu metropolis were conducted. Using content analysis and descriptive statistics the data collected were analyzed. It was observed that due to poor staffing and lack of engagement of building professionals, the planning approval authorities were not effective in scrutinizing, vetting and evaluating building drawings submitted for approval as well as in supervising and monitoring the level of compliance of buildings under construction with the operational building codes and bye-laws in the study area. The study concludes that these lapses in the roles of local building approval authorities can contribute to the increasing cases of collapsed buildings in Enugu Metropolis. It recommends that government should take proactive steps by engaging the right number of building professionals in her planning approval offices and ensuring strict enforcement of the existing physical development legislation and punishment of offenders. © 2020; Building professionals; Building collapse; Planning approval; Building legislation; Enugu metropolis; Civil engineering; Environmental science; Environmental engineering; Environmental Impact Assessment; Arts and humanities; Architecture © 2020",Not Related
1070,10.1016/j.autcon.2019.03.002,"The research proposes a model for mass-customized housing in the emerging context of Industry 4.0 promoted by the European Union as a mean for technological and industrial innovation. With the aim to develop a cross-laminated timber (CLT) model for the Architecture, Engineering, and Construction (AEC) industry, the study deepens the possibility of using generative models and evolutionary principles to inform the customization process in the early stage of design. By trying to bring the latest innovation in the field of computer science and information technology to customers who typically are not proficient with algorithmic design and computation, the research builds up an intuitive interface that allows customers to explore different design solutions. Related to the scale of a single-family house, this model is intended to be used as a decision support system for the design of residential and emergency homes in central Italy. © 2019 Elsevier B.V.",AI Development and Methods
1077,10.1007/978-3-030-20454-9_54,"The adoption of precast concrete elements (PCEs) are becoming popular in civil infrastructures. Since quality of connections determines the structure property, design of rebar in PCEs is a mandatory stage in constructions. Due to large number of rebar, complicated shapes of PCEs and complicated rules for arrangement, it is labor-intensive and error-prone for designers to avoid all clashes even using computer software. With the aid of BIM, it is desirable to have an automated and clash-free rebar design. Taking this cue, we introduce a framework with generative adversarial network (GAN) and multi-agent reinforcement learning (MARL) for generating design and automatically avoiding clash of rebar in PCES. We use GAN to generate 2D rebar designs. Then, 2D rebar designs are transformed into digital environments for MARL. In addition, layout of rebar is modelled as path planning of agents in MARL. An illustrative example is presented to test the proposed framework. © 2020, Springer Nature Switzerland AG.",AI Development and Methods
1078,10.1007/978-3-030-20454-9_10,"Studies have shown that the construction industry is one of the biggest polluters on the planet, so environmental standards must be implemented to minimize its impact. The daily increase in housing is shortening the forests and areas once protected. Due to the increase in demand for housing in Guayaquil, the population has migrated to neighboring cantons acquiring villas in urbanizations. This increase in the real estate sector is not ecologically sustainable because harmful materials are used for the environment and health, in addition to the use of machinery that uses fossil fuel. The objective of this research is to determine what would be the new regulations of environmental management in the building systems for the buildings of “La Aurora” by reviewing the pollutants that throw the materials most used in construction in order to establish the margins of contamination allowed and the means to compensate for the damage created. To determine the new regulations, a scenario analysis combined with neutrosophical cognitive maps and the TOPSIS multicriteria method is used. This combination allows analyzing the main scenarios and ordering them according to the multiple dimensions of the problem. Among the proposals to mitigate environmental pollution are the use of less polluting materials in construction, clean energies in the illumination of homes and public spaces as well as the increase of green areas and reforestation programs per m2 of areas dedicated to develop. © 2020, Springer Nature Switzerland AG.",Not Related
1079,10.1061/(ASCE)CO.1943-7862.0001854,"Construction engineering and management are vital for successful project execution, and both researchers and practitioners continually seek ways to improve construction processes. Fuzzy logic plays an important role in many construction engineering and management applications, which are reviewed in this paper. This paper discusses the limitations of fuzzy logic and how this theory has been combined with other modeling techniques to develop fuzzy hybrid techniques, and describes the aspects of construction problems and decision making that are most effectively modeled using these techniques. Fuzzy hybrid techniques that are most common in construction are presented and examples from construction literature and the author's research program are provided. The author shares her vision of future research in this area, which is based on her expertise and experiences collaborating with construction industry partners, who have helped shape her research program and its impact on industry. Finally, the author presents her thoughts on the challenges construction researchers face in translating research to practice and measuring its impact, and she discusses some potential solutions from her research program. This paper is based on the 2019 Peurifoy Construction Advancement Address, which the author presented in Montreal, Canada, in June 2019. © 2020 American Society of Civil Engineers.",Not Related
1081,10.1007/978-3-030-20454-9_49,"Building Information Modelling (BIM) has shown great benefits in the building industry on a different level. It helps enhance collaboration, increase efficiency, and reduce waste. However, to achieve good results, BIM requires a customized work plan, a set of regulations, and adequate infrastructure to succeed. The aim of this study is to evaluate the capabilities of the Saudi Construction Industry to adopt BIM. The authors apply results of a previous study completed recently to identify and examine the success factors of BIM implementation in Saudi Arabia. Three main categories are chosen to be examined including infrastructure, process, and existing building policies and regulations. Each category will be further divided into subcategories and evaluated individually. For that purpose, a questionnaire is designed and administered to 150 individuals who are closely involved with the construction market of Saudi Arabia. A preliminary result revealed that many of the participants agreed that the lack of a written procedure is the major reason BIM is not adopted by many. The study further showed that stakeholders are not embracing BIM because it requires many changes to function properly. Lack of knowledge and awareness is another reason BIM is not adopted by many in the field. The output of this study will be used in a future study to help develop a BIM framework that is customized to the Saudi Construction industry. © 2020, Springer Nature Switzerland AG.",Not Related
