row,DOI,H_S,H_R,H_M,AI_GPT-5 Full,CONF_GPT-5 Full,REASON_GPT-5 Full,AI_GPT-5 mini,CONF_GPT-5 mini,REASON_GPT-5 mini,AI_Gemini Pro,CONF_Gemini Pro,REASON_Gemini Pro,AI_Gemini 2.5 Flash,CONF_Gemini 2.5 Flash,REASON_Gemini 2.5 Flash,reason_excl_R,benchmark,tier,n_labels,top_n
786,10.1145/3495018.3495134,,,,AI Development and Methods,0.7,"The paper develops an AI-based evaluation approach for substation site selection, using BPNN to derive index weights and a matter-element extension model for assessment. It explicitly considers construction-related factors (construction conditions, construction costs) within the evaluation system, aligning with construction planning/decision-making methods rather than adoption, benchmarking, or economic analysis.",AI Development and Methods,0.93,"The abstract proposes and applies AI techniques (BPNN and machine learning) combined with a matter-element extension model to construct an evaluation index system and perform substation location selection. It focuses on developing/adapting computational methods (using BPNN to obtain index weights and evaluate site choices) for a construction-related problem, which aligns with AI Development and Methods.",AI Development and Methods,4.5,The abstract focuses on the development of a specific AI-driven methodology. It details how the authors 'construct a comprehensive evaluation system for substation location' and use 'BPNN and matter-element extension model' to perform the evaluation. The core contribution is the creation and application of this computational approach.,AI Development and Methods,0.9,"The abstract focuses on constructing a 'comprehensive evaluation system for substation location' using 'artificial intelligence technologies such as BPNN and machine learning'. It details how 'BPNN and matter-element extension model' are used to evaluate 'location selection of substations' and 'employ the BPNN to get the weight of the indexes', which aligns with designing or adapting AI/ML algorithms for construction-related problems.",,,No label,0,0
787,10.1109/ICICT54344.2022.9850720,,,,Not Related,0.93,"The abstract discusses Russian–Chinese machine translation systems, dictionary/corpus construction, and MOOC-based practice teaching involving enterprises and research institutions. There is no mention of construction industry contexts (e.g., projects, BIM, scheduling, site operations), so AI is applied to translation/education rather than construction.",AI Development and Methods,0.88,"The abstract focuses on designing and constructing an intelligent machine translation platform: analysis of existing Russian–Chinese MT systems, deriving typical system types, proposing a design concept to solve system issues, and building dictionaries and corpora. These are concrete AI/ML system development and methodology activities (algorithm/platform design and data resources), with educational/industry collaboration mentioned only as implementation context.",Not Related,5.0,"The abstract's subject matter is entirely focused on machine translation systems for Russian-Chinese language and its application in educational courses (MOOC). There is no mention of the construction industry, its processes, or any related applications.",Not Related,0.95,"The abstract discusses ""intelligent machine algorithms and practical guidance courses for Russian-Chinese translation"" and ""MOOC practice teaching"", which are applications of AI/ML in the field of language translation and education, entirely unrelated to the construction industry.",,,No label,0,0
788,10.3390/app11219966,,,,Not Related,0.91,"The abstract is a literature review on UAV applications in AEC (e.g., 3D modeling, land mapping, construction site monitoring, building surveying). It discusses scientometric/bibliometric mapping, payloads, and post-processing techniques but does not mention AI or machine learning development, adoption, performance, or economic impacts.",Not Related,0.91,"The abstract is a literature review on UAV use in AEC (fields of application, payload types, post-processing techniques, scientometric/bibliometric analysis) and focuses on aerial missions, 3D models, mapping and site monitoring. It does not mention AI/ML methods, algorithms, adoption factors, benchmarking, or economic impacts, so it does not substantially address AI/ML in construction.",Not Related,5.0,"The abstract focuses on a literature review of Unmanned Aerial Vehicles (UAVs) in the architecture and construction fields. While it discusses applications like '3D models, land mapping, construction site monitoring,' it does not mention or imply the use of Artificial Intelligence or Machine Learning in these processes. The core subject is the UAV technology itself, not AI.",Not Related,1.0,"The abstract discusses the use of Unmanned Aerial Vehicles (UAVs) in the architecture, engineering, and construction (AEC) fields, presenting a literature review of their applications and techniques. There is no mention or discussion of Artificial Intelligence (AI) or Machine Learning (ML) in any context, making it unrelated to AI topics.",,,No label,0,0
789,10.1155/2022/4285328,AI Development and Methods,AI Development and Methods,AI Development and Methods,AI Development and Methods,0.83,"The study develops an AI-based methodology for construction cost estimation by using extreme gradient boosting as an advanced input selector and coupling it with RF, ANN, and SVM models. It details model design and feature selection tailored to construction data (90 Iraqi building projects) and reports performance metrics (R², MAPE) and model comparisons, indicating a primary focus on algorithmic/method development for a construction problem rather than adoption, business impacts, or purely benchmarking against traditional methods.",AI Development and Methods,0.87,"The abstract focuses on developing and applying ML techniques for construction cost estimation: it 'developed extreme gradient boosting as an advanced input selector algorithm' and couples XGBoost with RF, ANN, and SVM models. It describes model development, input selection, and model comparison using statistical indicators, indicating methodological AI/ML work tailored to a construction problem.",AI Performance Evaluation,5.0,"The abstract is centered on evaluating and comparing the performance of different AI models for construction cost estimation. It explicitly states that 'Statistical indicators and graphical methods were used to evaluate the developed models' and provides specific metrics like 'r-squared and the mean absolute percentage error'. The research compares the results of combining XGBoost with RF, ANN, and SVM to determine that 'the best prediction was attained by XGBoost-RF', which is a direct act of benchmarking and performance validation.",AI Development and Methods,0.95,"The abstract focuses on the development of 'extreme gradient boosting as an advanced input selector algorithm and coupled with three AI models, including random forest (RF), artificial neural network (ANN), and support vector machine (SVM) for cost estimation', which directly aligns with designing or advancing AI/ML algorithms tailored to a construction-related problem. The evaluation of these models supports the validation of the developed method.",,AI Development and Methods,Majority 3-0,3,3
790,10.1155/2022/2839834,AI Development and Methods,Not Related,Not Related,Not Related,0.97,"The abstract discusses AI for marketing systems (market research, marketing strategy, smart/precision marketing) and enterprise risks (data, payment, ethical, decision-making) without any construction context or applications mentioned.",Not Related,0.9,"The abstract discusses AI in the context of marketing (market research, marketing strategy, marketing activities, smart/precision marketing) and analyzes risks (data, payment, ethical, decision-making). It contains no mention of construction, construction processes, or construction-related AI/ML applications, so it is not related to construction industry research.",Not Related,5.0,"The abstract discusses the application of AI in a general business context, specifically focusing on the 'marketing system,' including 'market research, market strategy, marketing strategy, and marketing activities.' There is no mention of the construction industry or any related applications.",Not Related,1.0,"The abstract discusses the application of AI, machine learning, and deep learning within a 'marketing system' to improve 'market research, market strategy, marketing strategy, and marketing activities' and to address associated risks. There is no mention of the construction industry or any construction-related problems or applications, making it unrelated to the specified domain.",,Not Related,Majority 2-1,3,2
791,10.1007/978-3-030-82430-3_5,AI Adoption Factors,,,AI Development and Methods,0.88,"The chapter explains AI/ML concepts and their applications to construction, details learning paradigms and problem types ML can solve in construction, and presents two case studies (surrogate and design‑assist models) with methodology and evaluation. These cues indicate a focus on developing and applying AI/ML methods tailored to architecture/engineering/construction problems rather than adoption factors or purely performance benchmarking.",AI Development and Methods,0.92,"The abstract focuses on explaining AI/ML concepts and their specific applications in architecture and construction, provides examples of problem types ML can solve, emphasizes data requirements for training models, and presents two case studies (surrogate and design-assist models including methodology and outcome evaluation). These cues indicate development/adaptation of AI/ML methods tailored to construction problems rather than adoption, benchmarking, or economic analysis.",AI Development and Methods,4.0,"The abstract explains different AI/ML learning paradigms, discusses the types of problems they can solve in construction, and details two specific case studies focusing on 'surrogate and design-assist models'. This emphasis on explaining and demonstrating specific computational approaches tailored for architectural and construction problems aligns with the AI Development and Methods category.",AI Development and Methods,0.9,"The abstract discusses 'explaining the meaning behind the buzzwords', 'clarifying the differences between AI and ML', and 'what applications they might have in the construction industry'. It provides 'Different learning paradigms and examples of what are the types of problems ML can solve'. Crucially, it details 'two case studies—which focus on two types of ML models, namely surrogate and design-assist models—will be disambiguated, looking into why one might choose to utilize ML techniques to tackle a problem, the methodology to follow and how to critically evaluate the outcomes'. This explicitly addresses the design, adaptation, and application methodology of AI/ML algorithms for construction problems, aligning with the 'AI Development and Methods' category.",,AI Adoption Factors,Single label,1,1
792,10.1061/9780784483978.101,,,,Not Related,0.72,"The study centers on organizational change management practices in facility management, using a survey (28 questions, 292 responses, 184 initiatives) to evaluate change strategies and outcomes. Machine learning is used only as an analytical tool to identify key characteristics and reports model accuracies (82%, 75%), but the paper does not develop AI methods, assess AI adoption, benchmark AI against traditional methods, or analyze AI’s economic impacts in construction.",AI Performance Evaluation,0.82,The study applies machine learning to survey data to identify predictors of successful workplace change and reports model validation results (accuracies of 82% and 75% on a 30% validation sample). This indicates the paper develops and evaluates ML models on real-world construction/FM data rather than focusing on AI adoption factors or novel algorithm development.,AI Development and Methods,4.5,"The abstract explicitly states that the research team used a ""machine learning algorithm"" to develop models that ""identify some of the key organizational characteristics and change management strategies responsible for the successful workplace change adoption."" This represents the application and development of an AI-based method to solve a specific problem within the facility management and construction domain. The mention of model accuracies further supports that the core of the work is the development and validation of these AI models.",AI Performance Evaluation,0.95,"The abstract explicitly states the use of a 'machine learning algorithm' to identify key organizational characteristics and change management strategies. Furthermore, it directly reports the performance of 'The developed models' by citing 'accuracies of 82% and 75%', which clearly falls under benchmarking or validating AI/ML systems.",,,No label,0,0
793,10.3390/app112110435,Not Related,Not Related,Not Related,Not Related,0.97,"The abstract focuses on agricultural aviation and biomimetic technology for intelligent navigation, obstacle avoidance, and path planning in agriculture (e.g., “agricultural aviation,” “bionic technology,” “real-time obstacle avoidance, path planning, and intelligent navigation”). It does not address construction-industry contexts or applications of AI/ML in construction.",AI Development and Methods,0.86,"The abstract reviews biomimetic (bionic) technology for agricultural aircraft with explicit focus on 'biological perception, biological behavior, and biological intelligence' and analyzes research/application problems in 'real-time obstacle avoidance, path planning, and intelligent navigation' as well as 'brain-like navigation' and sensor/3D information exploration—all indicating design/adaptation of AI/algorithmic approaches for construction-related (agricultural aviation) problems rather than adoption, benchmarking, or economic analysis.",Not Related,5.0,"The abstract's focus is on 'agricultural aviation technology' and 'agricultural aircraft'. Although it discusses AI concepts like 'intelligent navigation' and 'path planning', the application domain is explicitly agriculture, not the construction industry. The term 'agricultural construction' refers to the development of the agricultural sector, not the building or infrastructure construction industry.",Not Related,1.0,"The abstract focuses on 'agricultural aviation technology' and 'biomimetic technology' for agricultural aircraft, including obstacle avoidance and navigation. It discusses 'artificial intelligence' as an 'emerging industry' but the core subject and application are not within the construction industry.",,Not Related,Majority 3-0,3,3
794,10.1109/ACCESS.2022.3213714,AI Adoption Factors,Not Related,Not Related,Not Related,0.93,"The abstract focuses on blockchain technology adoption in construction using TPB, RFT, PLS-SEM, and fsQCA with construction practitioners. It discusses institutional pressures, perceived benefits, and behavioral control for blockchain adoption. There is no mention of AI or machine learning methods, systems, or applications in construction.",Not Related,0.95,"The abstract focuses on blockchain technology adoption in construction (mentions ‘blockchain’, TPB/RFT, PLS-SEM, fsQCA, multi-stakeholder configurations). It examines factors driving adoption rather than any AI/ML methods or applications, so it does not substantially address AI or machine learning in construction.",Not Related,5.0,"The abstract exclusively discusses the adoption of 'blockchain technology' in the construction industry. It does not mention Artificial Intelligence (AI), Machine Learning (ML), or any related algorithms or methods. The research focus is on adoption factors for a technology that is distinct from AI.",Not Related,1.0,"The abstract exclusively focuses on 'Blockchain technology' and 'the factors affecting the adoption of blockchain technology' in construction. It does not mention AI or ML applications, methods, or impacts at any point, thus failing to substantially address AI or ML in construction contexts.",,Not Related,Majority 2-1,3,2
795,10.1007/s10704-022-00650-2,AI Development and Methods,AI Development and Methods,AI Development and Methods,Not Related,0.8,"The study develops a physics-informed ML workflow for detecting mechanical discontinuities in homogeneous 2D materials using wave propagation simulations and evaluates models (e.g., AdaBoost with kNN). Although it lists multiple industries including construction, the work is not applied or tailored to construction-specific contexts, tasks, datasets, or problems; construction is mentioned only as one of many example industries.",AI Development and Methods,0.92,"The abstract describes development of a physics-informed machine learning workflow for detecting and localizing mechanical discontinuities, including simulation (k-Wave), signal processing, feature engineering, model selection (AdaBoost regressor with k-NN base estimator), and noise-sensitivity evaluation. These are algorithmic and methodological contributions applying ML to a construction-relevant materials inspection problem, not primarily about adoption, economic impact, or high-level benchmarking.",AI Development and Methods,5.0,"The abstract focuses on the development of a 'physics-informed machine learning workflow' for a problem relevant to the construction industry (detecting mechanical discontinuities). It details the specific methods used, such as 'simulation of wave propagation, signal processing, feature engineering,' and the implementation of specific models like 'AdaBoost regressor with k-Nearest Neighbor,' which clearly falls under the category of designing and advancing AI/ML computational approaches.",AI Development and Methods,0.95,"The abstract explicitly states 'a physics-informed machine learning workflow is developed' for detecting and locating mechanical discontinuities, which is essential for the construction industry. It details the workflow's components like 'simulation of wave propagation, signal processing, feature engineering, and data-driven model evaluation,' and the implementation of a 'k-Wave simulator.' It also evaluates specific AI models like 'AdaBoost regressor with k-Nearest Neighbor' for this tailored application. This aligns with papers focused on 'designing, adapting, or advancing AI/ML algorithms or computational approaches tailored to construction-related problems.'",,AI Development and Methods,Majority 3-0,3,3
796,,,,,Not Related,0.64,"This is a proceedings summary listing diverse civil/structural topics. While a few items mention AI/ML (e.g., “time-Frequency Assisted Deep Learning for Crack Localization,” “applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections,” and “Generative Design”), the abstract itself is not focused on AI in construction and provides no substantive AI/ML discussion, evaluation, or adoption analysis. AI is only one of many disparate topics in the collection, so the piece does not substantially address AI/ML in construction.",AI Development and Methods,0.86,"The proceedings list multiple papers that develop or adapt AI/ML methods for construction problems, e.g., ""time-Frequency Assisted Deep Learning for Crack Localization Using Acoustic Emission Data"", ""applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections"", and ""achieving an Optimized Solution for Structural Design of Single-Storey Steel Buildings Using Generative Design Methodology"". These titles indicate methodological development and application of AI techniques tailored to structural/SHM and design problems in construction.",AI Development and Methods,5.0,"The abstract, which is a list of conference paper titles, includes several entries that are explicitly about the development and application of AI methods for specific construction-related problems. These include 'time-Frequency Assisted Deep Learning for Crack Localization', 'applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections', and 'Using Generative Design Methodology'. These titles directly align with the definition of the 'AI Development and Methods' category.",AI Development and Methods,0.95,"The abstract explicitly mentions 'Time-Frequency Assisted Deep Learning for Crack Localization Using Acoustic Emission Data' and 'Applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections'. These directly describe the application and tailoring of AI/ML algorithms and computational approaches (Deep Learning, AI Techniques) to solve construction-related problems (crack localization, structural steel connection optimization), fitting the criteria for 'AI Development and Methods'.",,,No label,0,0
797,,,,,AI Development and Methods,0.66,"The proceedings overview lists multiple construction-focused AI/ML method papers, e.g., “time-Frequency Assisted Deep Learning for Crack Localization Using Acoustic Emission Data,” “applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections,” and “achieving an Optimized Solution for Structural Design... Using Generative Design Methodology,” indicating development and application of AI methods tailored to structural/civil engineering problems.",AI Development and Methods,0.86,"The proceedings list includes multiple papers that develop or apply AI/ML methods to construction problems (e.g., ‘time-Frequency Assisted Deep Learning for Crack Localization Using Acoustic Emission Data’, ‘applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections’, and ‘achieving an Optimized Solution for Structural Design... Using Generative Design Methodology’), indicating a focus on designing/adapting AI algorithms and computational approaches for construction issues.",AI Development and Methods,5.0,"The abstract, which is a list of conference paper titles, includes several topics that are explicitly about the application and development of AI techniques for specific construction and structural engineering problems. These include 'time-Frequency Assisted Deep Learning for Crack Localization', 'applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections', and 'Using Generative Design Methodology'.",AI Development and Methods,0.95,"The abstract includes papers such as 'Time-Frequency Assisted Deep Learning for Crack Localization Using Acoustic Emission Data' and 'Applications of Artificial Intelligence Techniques for Optimization of Structural Steel Connections'. These directly relate to designing, adapting, or advancing AI/ML algorithms and computational approaches tailored to construction problems, aligning with the definition of AI Development and Methods.",,,No label,0,0
798,10.1007/978-981-16-3690-5_147,,,,Not Related,0.83,"The study develops a GUI-based machine learning tool to predict mechanical properties of stainless steel (tensile strength, yield point) from inputs like carbon content, sectional size, temperature, and manufacturing process. Although it lists potential application areas including architecture, building, and construction, the research is materials-focused with no construction-specific problem, dataset, or context (e.g., BIM, scheduling, site operations). Therefore, it does not substantially address AI/ML applications in construction.",AI Performance Evaluation,0.86,"Abstract describes applying multiple data‑science/machine‑learning algorithms to predict mechanical properties of steel and states the implemented algorithms are compared to check prediction accuracy (""executing different data science algorithms"", ""compared to check for decent prediction accuracy""). This is primarily an evaluation/benchmarking of AI models for a construction‑related materials prediction task.",AI Development and Methods,5.0,"The abstract describes the development of a specific AI application, stating that the research 'targets at foreseeing the mechanical properties of an alloy named steel, by executing different data science algorithms.' It further details the creation of a 'practical and feasible tool' with a 'Graphical User Interface integrated with the implemented algorithms,' which is a clear example of developing an AI method for a construction-related problem.",AI Performance Evaluation,0.9,"The abstract explicitly states that the research targets 'foreseeing the mechanical properties of an alloy named steel, by executing different data science algorithms' and that 'this study can be further enhances to analyse the efficiency of the applied algorithms'. It also mentions that the 'implemented algorithms that are compared to check for decent prediction accuracy'. Stainless steel, the material being analyzed, is explicitly stated to have applications including 'architecture, building, construction', thereby linking the AI application to the construction domain for performance evaluation.",,,No label,0,0
799,10.1007/s11831-021-09576-9,,,,AI Development and Methods,0.63,"The review focuses on methodological integration of AI-style knowledge representations and reasoning with BIM for AEC: it discusses knowledge description, discovery, storage/management, and inference, and explicitly cites use of semantic networks and knowledge graphs for knowledge extraction/discovery. It does not analyze adoption factors, performance benchmarking, or economics; rather, it surveys computational approaches applicable to construction contexts.",AI Development and Methods,0.86,"The abstract reviews methods for extracting, representing and inferring knowledge from BIM for AEC (mentions knowledge description, discovery, storage, inference, application). It explicitly cites semantic networks and knowledge graphs as techniques for knowledge extraction/discovery, indicating focus on AI/knowledge-representation and computational methods tailored to construction rather than adoption, benchmarking, or economic analysis.",Not Related,5.0,"The abstract focuses on the intersection of knowledge science and Building Information Modeling (BIM) for knowledge management in the AEC industry. It does not explicitly mention or discuss Artificial Intelligence (AI) or Machine Learning (ML) as a core topic. While concepts like 'knowledge discovery' and 'knowledge inference' can be related to AI, the paper frames them within 'knowledge science' and does not substantially address AI applications.",Uncertain,0.8,"The abstract discusses 'knowledge science', 'knowledge inference', 'semantic network', and 'knowledge graph' in the context of BIM. While these concepts and methods are strongly associated with AI/ML, the abstract does not explicitly use the terms 'AI' or 'ML' nor does it specify the development or application of AI/ML algorithms. This makes its direct relevance to AI/ML in construction 'unclear' based on the provided decision rules, as it is a review of broader 'knowledge science and BIM'.",,,No label,0,0
800,10.1088/1755-1315/636/1/012032,,,,Not Related,0.78,"The abstract focuses on developing a university curriculum for intelligent construction using VR to train new engineering talents. AI, IoT, 5G, and cloud computing are mentioned only as contextual background. There is no description of AI/ML methods, applications, adoption factors, performance evaluation, or economic analysis within construction; the paper is about educational reform and curriculum design.",Not Related,0.87,"The abstract discusses curriculum construction and training of 'intelligent construction' professionals using VR, and only briefly lists AI/IoT/5G/cloud as contextual buzzwords. It does not address AI/ML methods, their development, adoption barriers, performance benchmarking, or economic impacts in construction—focus is educational program design rather than AI research or evaluation.",Not Related,4.5,"The abstract focuses on the development of a 'professional curriculum system based on VR technology' for 'intelligent construction talents'. While AI is mentioned in the introductory list of technologies shaping the 'digital era', the core subject of the paper is educational reform and curriculum design, not the development, adoption, or evaluation of AI itself.",Not Related,0.9,"The abstract mentions ""AI"" as part of the ""digital era"" and a driver for cultivating ""new engineering complex talents."" However, the core purpose is to ""explore the construction of intelligent construction professional curriculum system based on VR technology"" and ""improving the training effect of new engineering intelligent construction talents."" The paper focuses on education and curriculum reform, rather than substantially addressing AI/ML applications, development, adoption factors, performance evaluation, or economic impacts within the construction industry itself. AI is mentioned only peripherally as a contextual technology.",,,No label,0,0
801,,,,,Not Related,0.95,"The proceedings focus on eLearning and software for education with topics in textiles, fashion, footwear, and biometrics (e.g., keystroke dynamics for online platforms). Mentions of “construction” refer to garment construction (e.g., construction-functional design of pants, construction techniques for patterns), not the construction industry. There is no substantive discussion of AI/ML applications in construction contexts.",Not Related,0.92,"The proceedings focus on eLearning and educational software across textile, fashion, language teaching, and related topics (e.g., e-learning platforms, 3D CAD for footwear, software for garment design and textile testing). There is no mention of AI/ML methods, applications, or evaluation in a construction-industry context; the few items mentioning “construction” refer to garment construction techniques, not the construction industry or AI.",Not Related,5.0,"The abstract focuses on 'eLearning and Software for Education' within the textile, fashion, and footwear sectors. The term 'construction' is used in the context of garment design ('construction techniques for developing raglan graded patterns', 'construction-functional design of pants'), not the building and civil engineering industry. Additionally, there is no mention of AI or machine learning.",Not Related,1.0,"The abstract focuses entirely on 'eLearning and Software for Education' within various fields like foreign language teaching, textile and fashion, and doesn't mention AI or ML at all. The mentions of 'construction' refer to textile/fashion pattern construction ('VIRTUAL DEMONSTRATIONS OF USING CONSTRUCTION TECHNIQUES FOR DEVELOPING RAGLAN GRADED PATTERNS', 'SOFTWARE APPLICATION FOR CONSTRUCTION-FUNCTIONAL DESIGN OF PANTS'), not the building construction industry.",,,No label,0,0
802,10.3390/app11094276,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,0.73,"The study surveys industry experts to assess the applicability, interoperability, and integrability of a Cognitive Digital Twin (CDT) model in building lifecycle management, focusing on decision support capabilities and integration in practice. Phrases like “surveys of industry experts,” “applicability, interoperability, and integrability,” and “integration in practice besides decision support capabilities and AEC industry insights” indicate an exploration of enablers and factors influencing adoption rather than developing new algorithms or benchmarking performance.",AI Adoption Factors,0.91,"The study focuses on applicability, interoperability and integrability of Cognitive Digital Twins (CDT) and associated AI/ML/CPS/IoT technologies for building lifecycle management, using surveys of industry experts and evaluation of model integration in practice and decision-support capabilities—i.e., factors affecting adoption and practical integration in the AEC industry rather than algorithm development or performance benchmarking.",AI Adoption Factors,4.5,"The study's primary focus is on investigating the 'applicability, interoperability, and integrability' of a Cognitive Digital Twin (CDT) model, which incorporates AI and ML. It uses 'Surveys of industry experts' to assess the model's practical integration and identify 'integrability enablers', which directly relates to understanding the factors influencing the adoption of this AI-driven technology in the AEC industry.",AI Adoption Factors,0.9,"The abstract explicitly states that the study investigates the 'applicability, interoperability, and integrability of an adapted model of CDT for BLM' and uses 'surveys of industry experts' to focus on 'integration in practice' and 'integrability enablers'. These are all direct factors influencing the adoption of AI/ML technologies like Cognitive Digital Twins in the construction industry.",,AI Adoption Factors,Majority 3-0,3,3
803,,,,,Not Related,0.97,"The abstract describes a collection of AI/ML research topics (e.g., object detection in aerial images, transfer learning, privacy-preserving maintenance reports, legal document QA, ontology policies, cross-lingual summarization, adversarial robustness, breast cancer classification, knowledge graph survey). None of the topics address construction-specific applications or contexts, and there is no mention of construction processes, BIM, scheduling, or construction industry adoption/performance/economic impacts.",Not Related,0.92,"Proceedings cover general AI topics (object detection on aerial images, transfer learning, privacy-preserving maintenance reports, legal document QA, ontology query policies, cross-lingual summarization, social media for traffic accidents, Bayesian NN robustness, breast cancer prediction, knowledge graph surveys). No construction-industry focus or construction-specific AI/ML applications are mentioned.",Not Related,5.0,"The abstract lists the topics of 23 papers from a proceedings. While these topics involve AI and machine learning (e.g., 'object detection', 'transfer learning', 'machine learning predictive model'), none of them are explicitly applied to the construction industry. The applications mentioned are diverse and general, such as 'German legal documents', 'road traffic accidents', and 'breast cancer', with no reference to construction, engineering, or architecture.",Not Related,1.0,"The abstract lists various AI/ML topics (e.g., object detection, transfer learning, machine learning predictive models, knowledge graphs) but none are contextualized or applied to the construction industry. The mention of 'industrial maintenance reports in industry 4.0' is general and does not specifically link to construction or AI's role within it.",,,No label,0,0
804,10.1061/(ASCE)CO.1943-7862.0002156,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,AI Adoption Factors,0.73,"The paper surveys academics and practitioners about emerging technologies in construction, collecting data on use, interest, maturity, implementations, applications, benefits, and barriers—classic adoption dimensions. It explicitly highlights “artificial intelligence (AI), neural networks (NNs), and deep learning (DL)” as one of the top three technologies for collaboration, aiming to foster adoption. Thus it addresses factors influencing AI adoption in construction.",AI Adoption Factors,0.9,"The study analyzes perception differences between academics and industry practitioners and uses survey data on technological use, interest, maturity, implementations, applications, benefits, and barriers to promote emerging technology adoption. It explicitly identifies AI/NN/DL as one of three technologies with high potential for academic–industry collaboration to foster adoption, focusing on enablers and barriers rather than algorithm development, benchmarking, or economic impact.",AI Adoption Factors,5.0,"The abstract explicitly analyzes the factors influencing the adoption of 17 emerging technologies, with 'artificial intelligence (AI), neural networks (NNs), and deep learning (DL)' being a key focus. The study uses survey data to examine 'technological use, interest, maturity, implementations, applications, benefits, and barriers' with the stated goal to 'foster the adoption of innovative technologies'.",AI Adoption Factors,0.95,"The abstract explicitly focuses on 'slow adoption' of emerging technologies, including AI, in the construction industry. It analyzes 'perception differences between academics and construction industry practitioners' regarding these technologies and discusses factors like 'technological use, interest, maturity, implementations, applications, benefits, and barriers' to 'promote emerging technology adoption'. This directly aligns with exploring factors influencing AI/ML adoption.",,AI Adoption Factors,Majority 3-0,3,3
805,10.1088/1742-6596/1757/1/012019,,AI Development and Methods,AI Development and Methods,Not Related,0.93,"The abstract discusses AI in the context of foreign language teaching and curriculum design for engineering education in China (e.g., ""foreign language curriculum system,"" ""OBE education concept,"" ""education industry""). It does not address AI/ML applications in the construction industry, construction processes, or construction-specific problems.",Not Related,0.92,"The abstract discusses artificial intelligence applied to engineering education and foreign language curriculum design (OBE-guided teaching objectives, assessment) to improve internationalization of training. It does not address AI/ML applications within the construction industry, nor algorithm development, adoption factors, performance benchmarking, or economic impacts related to construction work—so it is not related to construction-industry AI research.",Not Related,5.0,"The abstract discusses the application of artificial intelligence in 'foreign language teaching' for engineering students. The term 'construction' in the text refers to the 'construction of foreign language curriculum system,' not the physical construction industry.",Not Related,0.95,"The abstract discusses the impact of Artificial Intelligence on foreign language teaching for engineering students and curriculum development in education. It does not address AI applications, methods, or impacts within the construction industry itself.",,AI Development and Methods,Majority 2-0,2,2
806,10.1680/jsmic.19.00011,,,,AI Development and Methods,0.78,"The paper proposes a framework for smart asset management in O&M that integrates digital twins with artificial intelligence and machine learning, and reviews BIM-related standards and research. This focuses on developing methodological approaches (framework integrating AI/ML, BIM, and digital twins) tailored to construction asset management rather than adoption factors or performance benchmarking.",AI Adoption Factors,0.86,The paper is a review of BIM for asset management and proposes a framework integrating digital twins (which leverage AI/ML) to address BIM’s information and analytical gaps; it focuses on enabling and promoting widespread adoption of digital-twin-enabled asset management rather than developing specific AI algorithms or benchmarking performance.,AI Development and Methods,5.0,"The abstract proposes a framework for future development of smart asset management by integrating the concept of digital twins. The paper explicitly defines that 'Digital twins integrate artificial intelligence, machine learning and data analytics,' thus focusing on a new computational approach for a construction-related problem.",AI Development and Methods,0.9,"The abstract proposes 'a framework for future development of smart asset management' that explicitly 'integrates artificial intelligence, machine learning and data analytics' within the concept of digital twins, which is a computational approach tailored to construction-related problems.",,,No label,0,0
807,10.4324/9781003155973-6,,,,AI Adoption Factors,0.72,"The chapter discusses the relevance and potential of AI/ML for construction disputes, highlighting enablers like ERP/BIM data in standardized, machine-readable formats and benefits such as simplifying fact-finding and accelerating resolution. It also notes potential market demand for pre-dispute AI functionalities. This focuses on drivers and benefits influencing adoption rather than developing algorithms or benchmarking performance.",AI Economic and Business Impacts,0.86,"The abstract assesses the relevance and market potential of AI/ML and LegalTech for construction disputes, noting that BIM/ERP generate large standardized datasets enabling machine learning and arguing there should be a substantial market for pre-legal dispute functionalities. This focuses on market/business implications rather than algorithm development, evaluation, or adoption barriers, so it fits Economic and Business Impacts.",AI Economic and Business Impacts,4.5,"The abstract analyzes the business implications of using AI in construction disputes by highlighting the potential to address the ""complexity, duration, the associated cost of most construction disputes."" It frames the use of AI as a solution to a business problem and discusses the existence of a ""sufficiently great market for such functionalities,"" which directly relates to economic and business impacts.",AI Adoption Factors,0.9,"The abstract examines the 'relevance of artificial intelligence (AI) for construction disputes' and points to the 'often-voiced need in the construction industry for swifter resolution' and the indication of 'a sufficiently great market for such functionalities', which are clear factors influencing the adoption of AI/ML in construction.",,,No label,0,0
